ESPECIFICACOES TECNICAS,,,,,,,,,,,,,,METROLOGIA,,,,,,,,,,,"prontidao
Status",,PATRIMONIO / INVENTARIO,,,,,,,PROCESSO LICITATORIO,,,,,,,OBTENCAO / FINANCEIRO,,,,,,,,"Gerenciamento e transporte do equipamento
OFICINA > ET > TRANSPORTADORA > LABORATORIO",,,,,,,,,,,,,,,,,
"equipamento_classe
ELE – eletrico
MEC – mecanico",equipamento_tipo,equipamento_fabricante,equipamento_modelo,equipamento_serial,equipamento_codigo_interno,equipamento_altura,equipamento_largura,equipamento_equipamento_comprimento,equipamento_tensao,equipamento_potencia,equipamento_necessidade,equipamento_,,faixa de medicao,unidade da medicao,TOLERANCIA,"ERRO MAX TOLERAVEL
ESPEC. PELO USUARIO/PROCEDIMENTO",ERRO MENSURADO CERT. CAL. VIGENTE,VARIANCIA,ANALISE Ia,obsvacao,,,,"prontidao
Status",prioridade,CICLO CALIBRAÇÃO (MESES),"
 DIVISÃO",INCUMBENCIA,CADBEM,INCUMBENCIA_RESPONSAVEL,"PS - Pedido de servico 
",,RESP_PROCESSO,PROCESSO_NUP,CONTRATO / ATA N,VALOR_MAX_TR,DATA_HOMOLOGACAO,DATA_ASS_ATA,VALOR_SERVICO_ATA,SOLEMP,SOLEMP_DATA,NOTA DE EMPENHO,DATA_EMPENHO_RECEBIDO_EXEC,NF,DATA_NF,DATA_CERTIFICACAO_NF,"executor
Laboratorio",,Data de ENTRADA na Oficina  Eletronica,saida para Cali.  Da Oficina  Eletronica,LOTE / REMESSA,RETORNO CAL,ENTREGUE  A OFICINA,,ULTIMA CALIBRAÇÃO,PRÓXIMA CALIBRAÇÃO,VALIDADE CALIBRAÇÃO,CERTIFICADO  ,localizacao,COMENTÁRIOS,,"CUSTO ESTIMADO
BASE HIST + AI",ORÇAMENTO,PAGAMENTO,LOCAL CALIBRAÇÃO
ELE ,FONTE DC,BK PRECISION,BK9801,,,,,,,,,,,"    Output Voltage: 0-300V
    Output Current: 3.0A at 0-150V , 1.5A at 0-300V
    Max Power: 300VA",,,,,,,,,,,,,12,F-21,,,,PS-CMS-2025-003,,,,,,,,,,,,,,,,,,03/05/23,03/05/23,,18/05/23,,,45056,#VALOR!,DESCALIBRADO,certificado nº 2142034/2023,CMASM,,,"1000,56",,,CMS
ELE ,FONTE DC,TDK-LAMBDA ,Z1020 LAN,,,,,,,,,,,10 V /  20 A ,,,,,,,,,,,,,12,F-21,,,,PS-CMS-2025-004,,,,,,,,,,,,,,,,,,03/05/23,03/05/23,,18/05/23,,,45056,#VALOR!,DESCALIBRADO,certificado nº 2142033/2023,CMASM,,,"1000,56",,,CMS
ELE ,FONTE DC,TDK-LAMBDA,GENH30-25 LAN,,,,,,,,,,,30 V /  25 A,,,,,,,,,,,,,12,F-21,,,,5,,,,,,,,,,,,,,,,,,03/05/23,03/05/23,,18/05/23,,,45055,#VALOR!,DESCALIBRADO,certificado nº 2142032/2023,CMASM,,,"1000,56",,,CMS
ELE ,FONTE DC,TDK-LAMBDA,GENH300-2.5 LAN,,,,,,,,,,,300 V /  2.5 A,,,,,,,,,,,,,12,F-21,,,,6,,,,,,,,,,,,,,,,,,03/05/23,03/05/23,,18/05/23,,,45055,#VALOR!,DESCALIBRADO,certificado nº 2142031/2023,CMASM,,,"1000,56",,,CMS
ELE ,MEGÔHMETRO,CHAUVIN ARNOUX ,CA 6541,,,,,,,,,,, resistance: 0.01 Ω to 400 kΩ continuity: 0.01Ω to +40 Ω,,,,,,,,,,,,,12,F-21,,,,7,,,,,,,,,,,,,,,,,,11/10/23,16/10/23,,23/10/23,,,45216,#VALOR!,DESCALIBRADO,certificado nº 2142103/2023 ,CMASM,,,"373,83",,,CMS
ELE ,MULTÍMETRO,FACOM,711B,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,8,,,,,,,,,,,,,,,,,,23/08/24,05/09/24,,31/01/25,,,45638,#VALOR!,DESCALIBRADO,certificado nº 2142109/2024,CMS,,,"1164,35",,,CMS
ELE ,MULTÍMETRO,FACOM,711B,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,FERRAMENTA NAO UTILIZADA,,"776,23",,,CMS
ELE ,MULTÍMETRO,FACOM,711B,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,10,,,,,,,,,,,,,,,,,,31/07/23,02/08/23,,09/10/23,,,45196,#VALOR!,DESCALIBRADO,certificado nº 2142093/2023,CMASM,,,"776,23",,,CMS
ELE ,MULTÍMETRO,FACOM,711B,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,FERRAMENTA NAO UTILIZADA,,"776,23",,,CMS
ELE ,MULTÍMETRO,FLUKE,17B+,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,12,,,,,,,,,,,,,,,,,,05/03/24,05/03/24,,23/072024,,,45481,#VALOR!,DESCALIBRADO,certificado nº 2142044/2023,CMASM,,,"667,04",,,CMS
ELE ,MULTÍMETRO,FLUKE,17B+,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,13,,,,,,,,,,,,,,,,,,23/08/24,05/09/24,,17/02/25,,,45692,#VALOR!,DESCALIBRADO,certificado nº 2142004/2025,CMASM,,,"776,23",,,CMS
ELE ,MULTÍMETRO,FLUKE,17B+,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMASM,FERRAMENTA NAO UTILIZADA,,"776,23",,,CMS
ELE ,MULTÍMETRO 6 DÍGITOS,KEYSIGHT,34461A,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,15,,,,,,,,,,,,,,,,,,09/05/23,10/05/23,,18/05/23,,,45058,#VALOR!,DESCALIBRADO,certificado nº 2142036/2023,CMASM,,,"667,04",,,CMS
ELE ,MULTÍMETRO 6 DÍGITOS,KEYSIGHT,34461A,,,,,,,,,,,"1000 VDC 
750 VAC
100 a 100M Ohm
0.01 a 3 ADC
1 a 3 AAC
Continuidade 
Diodo",,,,,,,,,,,,,12,F-21,,,,16,,,,,,,,,,,,,,,,,,03/05/23,03/05/23,,18/05/23,,,45058,#VALOR!,DESCALIBRADO,certificado nº 2142037/2023,CMASM,,,"667,04",,,CMS
ELE ,OHMÍMETRO,AOIP,RN5306,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,17,,,,,,,,,,,,,,,,,,31/07/23,02/08/23,,09/10/23,,,45183,#VALOR!,DESCALIBRADO,certificado nº 2142089/2023 ,CMASM,,,"776,23",,,CMS
ELE ,OHMÍMETRO,AOIP,RN5306,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,#VALOR!,DESCALIBRADO,,CMS,FERRAMENTA NAO UTILIZADA,,"776,23",,,CMS
ELE ,OHMÍMETRO,AOIP,RN5306,,,,,,,,,,,,,,,,,,,,,,,,12,F-21,,,,19,,,,,,,,,,,,,,,,,,23/08/24,05/09/24,,17/02/25,,,45699,#VALOR!,DESCALIBRADO,certificado nº 2142012/2025 ,CMASM,,,"776,23",,,CMS
ELE ,ANALISADOR DE ESPECTRO,ROHDE&SCHWARZ,FSL18,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,20,,,,,,,,,,,,,,,,,,21/08/24,22/08/24,,16/09/24,,,45548,#VALOR!,DESCALIBRADO,certificado nº 2142090/2024,CMASM,,,"3104,95",,,CMS
ELE ,GERADOR DE FUNÇÕES,AGILENT,33220A,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,21,,,,,,,,,,,,,,,,,,21/08/24,22/08/24,,16/09/24,,,45545,#VALOR!,DESCALIBRADO,certificado nº 2142088/2024,CMASM,,,"1552,47",,,CMS
ELE ,MULTÍMETRO,FLUKE,179,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,22,,,,,,,,,,,,,,,,,,20/09/23,28/09/23,,16/11/23,,,45226,#VALOR!,DESCALIBRADO,certificado nº 2142110/2023,CMASM,,,"560,75",,,CMS
ELE ,MULTÍMETRO,FLUKE,73,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,23,,,,,,,,,,,,,,,,,,17/01/25,30/01/25,,16/11/23,,,45231,#VALOR!,DESCALIBRADO,certificado nº 2142112/2023,CMASM,cms ,,"560,75",,,CMS
ELE ,MULTÍMETRO,FLUKE,73,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,24,,,,,,,,,,,,,,,,,,17/01/25,30/01/25,,15/05/25,,,45758,#VALOR!,DESCALIBRADO,certificado nº 2142141/2023,CMASM,,,"776,23",,,CMS
ELE ,MULTÍMETRO 6 DÍGITOS,AGILENT,34401A,,,,,,,,,,,"1000 VDC 
750 VAC
100 a 100M Ohm
0.01 a 3 ADC
1 a 3 AAC
Continuidade 
Diodo",,,,,,,,,,,,,12,EXOCET,,,,25,,,,,,,,,,,,,,,,,,21/08/24,22/08/24,,16/09/24,,,45693,#VALOR!,DESCALIBRADO,64435-B/2025,CMASM,,,"1164,35",,,CMS
ELE ,OSCILOSCÓPIO,TEKTRONIX,TDS210,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,26,,,,,,,,,,,,,,,,,,17/01/25,30/01/25,,21/12/23,,,45240,#VALOR!,DESCALIBRADO,certificado nº 2142116/2023,CMASM,cms ,,"747,66",,,CMS
ELE ,OSCILOSCÓPIO,TEKTRONIX,TBS1102B ,,,,,,,,,,,,,,,,,,,,,,,,12,EXOCET,,,,27,,,,,,,,,,,,,,,,,,17/01/25,30/01/25,,21/12/23,,,45240,#VALOR!,DESCALIBRADO,certificado nº 2142115/2023,CMASM,cms ,,"747,66",,,CMS
ELE ,FONTE DC,HP,6255A,,,,,,,,,,,,,,,,,,,,,,,,12,MISTRAL,,,,28,,,,,,,,,,,,,,,,,,04/09/24,05/09/24,,31/01/25,,,45644,#VALOR!,DESCALIBRADO,certificado nº 2142110/2024,cms,,,"560,75",,,CMS
